model,feature_config,cv_accuracy,cv_precision_macro,cv_recall_macro,cv_f1_macro,cv_f1_weighted,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted,train_time_sec
XGBoost,full,0.9604556652460845,0.9601775555647398,0.9588384464204915,0.9591216742860835,0.9604440230394768,0.9688995215311005,0.968006218880995,0.9688020215891618,0.968295971876931,0.9689347754771869,2.0
Random Forest,full,0.9388861915808026,0.9395219901153185,0.936523388238529,0.9367101671822763,0.9390043839116972,0.9521531100478469,0.9515652219056079,0.9509615666634759,0.9508486311596427,0.9527606687594421,3.81
Decision Tree,full,0.9173005340670011,0.9174077652289057,0.9155281754317889,0.9154721835803942,0.9169665087264693,0.9354066985645934,0.9336292079555838,0.9339866150680597,0.9332566344145653,0.9351029924138345,0.27
SVM,full,0.8927424430418442,0.889699445287015,0.8887239883262035,0.8879556686417155,0.8925380160932888,0.9090909090909091,0.9058328880740255,0.9056091574272191,0.9051605694551447,0.9092877383314462,2.32
Logistic Regression,full,0.8681699663735593,0.8634445392761751,0.8645453864402632,0.8623766824064848,0.8666753418706128,0.8851674641148325,0.8808383030631608,0.8817406601694909,0.8780935252729563,0.8822218172460153,0.71
Random Forest,lifestyle,0.8376256496016975,0.8380396812414229,0.8333818902400871,0.833174673866159,0.8367019853592644,0.84688995215311,0.8456808367836317,0.842759876920017,0.8429102503209652,0.8465236360165251,3.77
XGBoost,lifestyle,0.8346514178849509,0.8365639642803598,0.8301025605931855,0.8309202872484786,0.8347710064931398,0.8397129186602871,0.8360370112368847,0.8365913300511506,0.8354575131700458,0.8391381846470468,2.81
Decision Tree,lifestyle,0.7495549441657225,0.746614779048066,0.7441731615451849,0.7437762894750961,0.7481998514727886,0.7344497607655502,0.7279343121706809,0.7325918966180974,0.7282920523310069,0.7312279928264708,0.29
SVM,lifestyle,0.7405405405405405,0.7345624319636789,0.7340522415040862,0.7268961400135637,0.7314892709302815,0.7607655502392344,0.7513337069671179,0.7531018350354426,0.7454367989823008,0.7510593374295677,2.66
Logistic Regression,lifestyle,0.5739565913218608,0.5628683070721036,0.5628278397483932,0.5477643139630216,0.5554749055782197,0.5813397129186603,0.5636419814163474,0.5671858625848187,0.5390431636920997,0.5481123037655943,0.68
